D1 Sentence D2
2017-04-11 "dolor. Fusce feugiat. Lorem ipsum" 07/29/2016
2017-01-24 "aliquam adipiscing lacus. Ut nec" 07/09/2016
2017-02-12 "lacinia vitae, sodales at, velit." 07/08/2017
2016-11-12 "erat. Etiam vestibulum massa rutrum" 07/12/2017
2016-07-10 "iaculis enim, sit amet ornare" 09/30/2017
2016-08-05 "diam. Sed diam lorem, auctor" 03/13/2016
2015-12-09 "enim, sit amet ornare lectus" 08/26/2017
2017-05-13 "at auctor ullamcorper, nisl arcu" 08/09/2017
2017-02-20 "elementum purus, accumsan interdum libero" 07/23/2017
2016-07-07 "eget massa. Suspendisse eleifend. Cras" 01/14/2016
2017-09-03 "aliquet. Proin velit. Sed malesuada" 11/16/2015
2016-11-05 "fringilla purus mauris a nunc." 04/09/2017
2017-03-09 "nisi. Mauris nulla. Integer urna." 08/21/2017
2016-11-23 "Proin sed turpis nec mauris" 10/08/2016
2016-12-11 "orci, in consequat enim diam" 09/04/2016
2017-04-08 "dolor. Donec fringilla. Donec feugiat" 03/06/2016
2016-03-11 "amet luctus vulputate, nisi sem" 12/24/2016
2016-08-08 "diam. Sed diam lorem, auctor" 10/01/2016
2016-05-13 "scelerisque neque sed sem egestas" 09/02/2017
2017-01-24 "Etiam laoreet, libero et tristique" 05/24/2017
2016-04-03 "risus. Quisque libero lacus, varius" 10/30/2016
2016-02-29 "dui lectus rutrum urna, nec" 03/23/2016
2016-08-29 "vehicula et, rutrum eu, ultrices" 03/10/2017
2016-11-03 "accumsan interdum libero dui nec" 04/10/2017
2016-05-02 "Nam porttitor scelerisque neque. Nullam" 02/26/2016
2016-01-21 "Proin vel nisl. Quisque fringilla" 01/12/2016
